                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     69,                 1.8917,                 1.3196,                 1.1497,                0.54154,                0.53488,                0.52045,                 0.2182,                 2.1741,                 1.7035,                 1.2045,               0.003268,               0.003268,               0.003268
                     70,                 1.8506,                 1.3356,                 1.2039,                0.55665,                0.53692,                0.51429,                 0.2161,                 2.1947,                 1.7062,                 1.2068,               0.003169,               0.003169,               0.003169
                     71,                 2.0153,                 1.2923,                 1.1734,                0.54314,                0.53488,                0.52418,                0.22561,                 2.1435,                 1.6164,                 1.1856,                0.00307,                0.00307,                0.00307
                     72,                 1.9182,                 1.3567,                 1.1195,                0.54058,                0.53281,                0.51773,                0.21107,                 2.1828,                 1.5552,                 1.1932,               0.002971,               0.002971,               0.002971
                     73,                 1.8396,                 1.2608,                 1.1521,                0.55004,                0.53409,                0.53047,                0.22265,                 2.1994,                 1.5794,                 1.1952,               0.002872,               0.002872,               0.002872
                     74,                 2.0041,                 1.2728,                  1.112,                0.56289,                0.51083,                0.51496,                0.21639,                 2.2156,                 1.5768,                 1.2025,               0.002773,               0.002773,               0.002773
                     75,                 1.8863,                 1.2558,                 1.1416,                0.55066,                0.48678,                0.50694,                0.22173,                 2.1289,                 1.6255,                 1.1836,               0.002674,               0.002674,               0.002674
                     76,                 1.8072,                 1.3221,                 1.1343,                0.53304,                0.48758,                0.48848,                0.22451,                 2.0723,                 1.6416,                  1.166,               0.002575,               0.002575,               0.002575
                     77,                 1.9204,                 1.2169,                 1.1599,                0.53838,                0.49453,                 0.4904,                0.21785,                 2.1176,                  1.635,                 1.1699,               0.002476,               0.002476,               0.002476
                     78,                 1.8697,                 1.1666,                 1.0882,                0.51144,                0.52758,                0.48289,                0.21296,                  2.161,                 1.6598,                 1.1872,               0.002377,               0.002377,               0.002377
                     79,                 1.8487,                 1.4225,                  1.109,                0.47451,                0.52838,                0.49164,                0.21535,                 2.1357,                 1.6319,                 1.1652,               0.002278,               0.002278,               0.002278
                     80,                 1.7311,                 1.0402,                 1.0297,                0.53158,                0.51213,                0.52434,                0.21885,                 2.1617,                 1.6272,                 1.1829,               0.002179,               0.002179,               0.002179
                     81,                 1.9883,                 1.3258,                 1.1859,                0.56683,                0.49848,                0.53134,                0.22616,                 2.1865,                 1.5984,                 1.1997,                0.00208,                0.00208,                0.00208
                     82,                 1.6315,                 1.3511,                 1.2456,                  0.533,                0.51487,                0.51462,                 0.2228,                 2.2258,                 1.6034,                 1.2013,               0.001981,               0.001981,               0.001981
                     83,                 1.9054,                 1.2305,                 1.0959,                0.52274,                0.52634,                0.51711,                0.22431,                 2.1827,                 1.5681,                 1.1866,               0.001882,               0.001882,               0.001882
                     84,                  1.942,                 1.2439,                 1.1145,                0.51346,                0.51938,                 0.5203,                0.22852,                 2.1555,                 1.5583,                 1.1864,               0.001783,               0.001783,               0.001783
                     85,                 1.7488,                 1.0561,                 1.0725,                0.51668,                0.51361,                0.51341,                0.22968,                 2.1519,                  1.579,                 1.1907,               0.001684,               0.001684,               0.001684
                     86,                 1.7302,                 1.2282,                 1.1385,                0.51417,                0.49981,                0.50029,                0.22458,                 2.1654,                 1.5716,                 1.2001,               0.001585,               0.001585,               0.001585
                     87,                 1.7884,                 1.1456,                 1.0716,                0.54869,                0.49416,                0.50935,                0.22608,                 2.1278,                 1.5589,                 1.1983,               0.001486,               0.001486,               0.001486
                     88,                 1.8407,                  1.277,                  1.185,                0.54185,                0.49081,                0.49496,                0.22548,                 2.1374,                  1.513,                 1.2052,               0.001387,               0.001387,               0.001387
                     89,                 1.7623,                 1.1484,                 1.0749,                0.54242,                0.49404,                0.49852,                0.22648,                 2.1274,                 1.4759,                 1.1892,               0.001288,               0.001288,               0.001288
                     90,                 1.8094,                 1.1025,                 1.0978,                0.54693,                0.49474,                0.49735,                0.22857,                 2.1345,                 1.4894,                 1.1888,               0.001189,               0.001189,               0.001189
                     91,                 1.6922,                 1.1528,                 1.1355,                0.52598,                0.48758,                0.49418,                0.22603,                 2.1149,                  1.496,                 1.1847,                0.00109,                0.00109,                0.00109
                     92,                 1.7293,                 1.0876,                 1.0893,                0.53473,                0.49491,                0.49546,                0.23295,                 2.1221,                 1.4941,                 1.1898,               0.000991,               0.000991,               0.000991
                     93,                 1.8169,                 1.1948,                 1.1752,                0.51468,                0.47983,                0.47207,                0.22113,                 2.1387,                 1.5139,                 1.1923,               0.000892,               0.000892,               0.000892
                     94,                 1.6595,                 1.1048,                 1.0524,                0.52338,                0.48758,                0.48009,                0.22508,                  2.133,                 1.5261,                 1.1886,               0.000793,               0.000793,               0.000793
                     95,                 1.7323,                  1.096,                 1.0783,                0.52092,                0.48837,                0.49636,                0.22491,                  2.117,                 1.5164,                 1.1881,               0.000694,               0.000694,               0.000694
                     96,                 1.7779,                 1.1588,                 1.1624,                0.53831,                0.50388,                0.50241,                0.22852,                 2.1128,                 1.5078,                 1.1886,               0.000595,               0.000595,               0.000595
                     97,                 1.7841,                 1.0727,                 1.1018,                0.54486,                0.49522,                0.50346,                0.23051,                  2.102,                 1.5128,                  1.188,               0.000496,               0.000496,               0.000496
                     98,                 1.6628,                 1.0594,                 1.0679,                0.53665,                0.50388,                0.49907,                0.22957,                 2.0965,                 1.5158,                 1.1897,               0.000397,               0.000397,               0.000397
                     99,                 1.7228,                 1.0337,                 1.0609,                0.52489,                0.49612,                0.49238,                 0.2302,                 2.1054,                 1.5224,                 1.1927,               0.000298,               0.000298,               0.000298
